,Player,,C,1B,2B,3B,SS,OF
COL,"Adames, Cristhian",,,,,,X,
STL,"Adams, Matt",,,X,,,,
SF,"Adrianza, Ehire",,,,X,,X,
ARI,"Ahmed, Nick",,,,,,X,
PHI,"Altherr, Aaron",,,,,,,X
SD,"Amarista, Alexi",Kilroy Sureshots,,,,,X,
COL,"Arenado, Nolan",Warning Track Power,,,,X,,
PHI,"Asche, Cody",,,,,X,,X
ATL,"Aybar, Erick",,,,,,X,
CHC,"Baez, Javier",,,,X,,,
LAD,"Barnes, Austin",,X,,,,,
COL,"Barnes, Brandon",,,,,,,X
CIN,"Barnhart, Tucker",,X,,,,,
ATL,"Beckham, Gordon",,,,X,,X,
SF,"Belt, Brandon",Kilroy Sureshots,X,,,,,
SD,"Bethancourt, Christian",,X,,,,,
COL,"Blackmon, Charlie",Wooden Spooners,,,,,,X
PHI,"Blanco, Andres",,,,X,X,,
SF,"Blanco, Gregor",,,,,,,X
SD,"Blash, Jabari",,,,,,,X
ATL,"Bonifacio, Emilio",,,,X,,,
MIA,"Bour, Justin",Has Bens,,X,,,,
PHI,"Bourjos, Peter",,,,,,,X
ATL,"Bourn, Michael",,,,,,,X
MIL,"Braun, Ryan",Kilroy Sureshots,,,,,,X
SD,"Bravo, Daniel",,,,X,,,
ARI,"Brito, Socrates",,,,,,,X
SF,"Brown, Trevor",,X,,,,,
MIL,"Broxton, Keon",,,,,,,X
CIN,"Bruce, Jay",,,,,,,X
CHC,"Bryant, Kris",Kilroy Sureshots,,,,X,,
NYM,"Cabrera, Asdrubal",,,,,,X,
CIN,"Cabrera, Ramon",,X,,,,,
NYM,"Campbell, Eric",,,,,X,,
STL,"Carpenter, Matt",Has Bens,,,,X,,
MIL,"Carter, Chris",,,X,,,,
ARI,"Castillo, Welington",Steroid Stiffs,X,,,,,
CIN,"Cave, Jake",,,,,,,X
PIT,"Cervelli, Francisco",Phil D. Walletup,X,,,,,
NYM,"Cespedes, Yoenis",,,,,,,X
NYM,"Conforto, Michael",Alien Nation,,,,,,X
CIN,"Cozart, Zack",,,,,,X,
SF,"Crawford, Brandon",,,,,,X,
LAD,"Crawford, Carl",,,,,,,X
NYM,"d'Arnaud, Travis",,X,,,,,
NYM,"De Aza, Alejandro",,,,,,,X
CIN,"De Jesus, Ivan",,,,X,,,
WAS,"den Dekker, Matt",,,,,,,X
COL,"Descalso, Daniel",,,,,,X,
PIT,"Diaz, Elias",,X,,,,,
MIA,"Dietrich, Derek",,,,,X,,X
WAS,"Drew, Stephen",,,,X,,,
ARI,"Drury, Brandon",,,,,X,,
NYM,"Duda, Lucas",Hoi Pollois,,X,,,,
SF,"Duffy, Matt",Gopher Balls,,,,X,,
CIN,"Duran, Juan",,,,,,,X
CIN,"Duvall, Adam",,,,,,,X
LAD,"Ellis, A.J.",,X,,,,,
WAS,"Espinosa, Danny",,,,X,,,
LAD,"Ethier, Andre",,,,,,,X
MIL,"Flores, Ramon",,,,,,,X
NYM,"Flores, Wilmer",,,,X,,X,
PIT,"Florimon, Pedro",,,,,,X,
ATL,"Flowers, Tyler",,X,,,,,
CHC,"Fowler, Dexter",Young Guns,,,,,,X
PHI,"Franco, Maikel",Steroid Stiffs,,,,X,,
ATL,"Francoeur, Jeff",,,,,,,X
ATL,"Freeman, Freddie",,,X,,,,
PIT,"Freese, David",,,,,X,,
PHI,"Galvis, Freddy",Master Batters,,,,,X,
ATL,"Garcia, Adonis",,,,,X,,
STL,"Garcia, Greg",,,,,,X,
MIL,"Gennett, Scooter",,,,X,,,
MIA,"Gillespie, Cole",,,,,,,X
PHI,"Goeddel, Tyler",,,,,,,X
ARI,"Goldschmidt, Paul",Wooden Spooners,,X,,,,
LAD,"Gonzalez, Adrian",,,X,,,,
COL,"Gonzalez, Carlos",Has Bens,,,,,,X
MIA,"Gordon, Dee",The 700 Level,,,X,,,
ARI,"Gosewisch, Tuffy",,X,,,,,
ARI,"Gosselin, Phil",,,,X,,,
LAD,"Grandal, Yasmani",,X,,,,,
NYM,"Granderson, Curtis",Kilroy Sureshots,,,,,,X
STL,"Grichuk, Randal",Steroid Stiffs,,,,,,X
LAD,"Guerrero, Alex",,,,,X,,X
STL,"Gyorko, Jedd",,,,X,,X,
CIN,"Hamilton, Billy",,,,,,,X
WAS,"Harper, Bryce",Wooden Spooners,,,,,,X
PIT,"Harrison, Josh",,,,X,X,,X
MIA,"Hechavarria, Adeiny",Warning Track Power,,,,,X,
SD,"Hedges, Austin",,X,,,,,
PHI,"Hernandez, Cesar",Master Batters,,,X,,,
LAD,"Hernandez, Enrique",,,,X,,,X
PHI,"Herrera, Odubel",Young Guns,,,,,,X
ARI,"Herrmann, Chris",,X,,,,,
CHC,"Heyward, Jason",Has Bens,,,,,,X
MIL,"Hill, Aaron",,,,X,X,,
PIT,"Ho Kang, Jung",The 700 Level,,,,X,,
STL,"Holliday, Matt",,,,,,,X
CIN,"Holt, Tyler",,,,,,,X
PHI,"Howard, Ryan",,,X,,,,
COL,"Hundley, Nick",Master Batters,X,,,,,
ATL,"Inciarte, Ender",Young Guns,,,,,,X
SD,"Jankowski, Travis",,,,,,,X
PIT,"Jaso, John",,,X,,,,
SD,"Jay, Jon",,,,,,,X
MIA,"Johnson, Chris",,,X,,X,,
ATL,"Johnson, Kelly",,,X,X,,,X
SD,"Kemp, Matt",,,,,,,X
LAD,"Kendrick, Howie",,,,X,,,
CHC,"La Stella, Tommy",,,,X,,,
NYM,"Lagares, Juan",,,,,,,X
ARI,"Lamb, Jake",The 700 Level,,,,X,,
COL,"LeMahieu, DJ",,,,X,,,
MIL,"Liriano, Rymer",,,,,,,X
WAS,"Lobaton, Jose",,X,,,,,
MIL,"Lucroy, Jonathan",,X,,,,,
MIL,"Maldonado, Martin",,X,,,,,
ATL,"Markakis, Nick",,,,,,,X
PIT,"Marte, Starling",,,,,,,X
MIA,"Mathis, Jeff",,X,,,,,
PIT,"McCutchen, Andrew",,,,,,,X
PIT,"Mercer, Jordy",,,,,,X,
CIN,"Mesoraco, Devin",,X,,,,,
STL,"Molina, Yadier",,X,,,,,
CHC,"Montero, Miguel",,X,,,,,
PIT,"Morse, Michael",,,X,,,,
STL,"Moss, Brandon",,,X,,,,X
WAS,"Murphy, Daniel",,,,X,X,,
SD,"Myers, Wil",,,X,,,,X
MIL,"Nieuwenhuis, Kirk",,,,,,,X
SD,"Norris, Derek",The 700 Level,X,,,,,
ARI,"O'Brien, Peter",,,,,,,X
ATL,"Olivera, Hector",Steroid Stiffs,,,,X,,
ARI,"Owings, Chris",,,,X,,X,
MIA,"Ozuna, Marcell",,,,,,,X
SF,"Pagan, Angel",,,,,,,X
SF,"Panik, Joe",The 700 Level,,,X,,,
COL,"Parra, Gerardo",,,,,,,X
COL,"Paulsen, Ben",,,X,,,,X
LAD,"Pederson, Joc",Hoi Pollois,,,,,,X
STL,"Pena, Brayan",,X,,,,,
SF,"Pence, Hunter",Master Batters,,,,,,X
ARI,"Peralta, David",Young Guns,,,,,,X
STL,"Peralta, Jhonny",,,,,,X,
CIN,"Peraza, Jose",,,,X,,,
ATL,"Peterson, Jace",Young Guns,,,X,,,
STL,"Pham, Tommy",,,,,,,X
CIN,"Phillips, Brandon",,,,X,,,
ATL,"Pierzynski, A.J.",Gopher Balls,X,,,,,
SD,"Pirela, Jose",,,,X,,,
STL,"Piscotty, Stephen",The 700 Level,,,,,,X
NYM,"Plawecki, Kevin",,X,,,,,
PIT,"Polanco, Gregory",,,,,,,X
ARI,"Pollock, A.J.",Hoi Pollois,,,,,,X
SF,"Posey, Buster",Kilroy Sureshots,X,X,,,,
MIA,"Prado, Martin",,,,,X,,
LAD,"Puig, Yasiel",,,,,,,X
COL,"Raburn, Ryan",,,,,,,X
SD,"Ramirez, Alexei",,,,,,X,
WAS,"Ramos, Wilson",,X,,,,,
MIA,"Realmuto, J.T.",Gopher Balls,X,,,,,
WAS,"Rendon, Anthony",,,,X,X,,
WAS,"Revere, Ben",,,,,,,X
COL,"Reynolds, Mark",Alien Nation,,X,,X,,
NYM,"Reynolds, Matt",,,,,,X,
MIL,"Rivera, Yadiel",,,,X,,,
CHC,"Rizzo, Anthony",,,X,,,,
WAS,"Robinson, Clint",,,X,,,,X
PIT,"Rodriguez, Sean",,,X,,,,X
CIN,"Rodriguez, Yorman",,,,,,,X
PIT,"Rogers, Jason",,,X,,,,
MIA,"Rojas, Miguel",,,,,,X,
CHC,"Ross, David",,X,,,,,
PHI,"Ruf, Darin",,,X,,,,X
PHI,"Ruiz, Carlos",,X,,,,,
PHI,"Rupp, Cameron",,X,,,,,
CHC,"Russell, Addison",Steroid Stiffs,,,X,,X,
MIL,"Santana, Domingo",,,,,,,X
CIN,"Schebler, Scott",,,,,,,X
CHC,"Schwarber, Kyle",Has Bens,X,,,,,X
LAD,"Seager, Corey",Has Bens,,,,,X,
ARI,"Segura, Jean",Has Bens,,,,,X,
CIN,"Skipworth, Kyle",,X,,,,,
SD,"Solarte, Yangervis",Hoi Pollois,,X,,X,,
CHC,"Soler, Jorge",,,,,,,X
SF,"Span, Denard",,,,,,,X
SD,"Spangenberg, Cory",Young Guns,,,X,,,
MIA,"Stanton, Giancarlo",,,,,,,X
PIT,"Stewart, Chris",,X,,,,,
COL,"Story, Trevor",,,,,,X,
CIN,"Suarez, Eugenio",Gopher Balls,,,,,X,
MIA,"Suzuki, Ichiro",,,,,,,X
PHI,"Sweeney, Darnell",Kilroy Sureshots (Minors),,,,,,X
CHC,"Szczur, Matt",,,,,,,X
WAS,"Taylor, Michael",Alien Nation,,,,,,X
STL,"Tejada, Ruben",,,,,,X,
LAD,"Thompson, Trayce",,,,,,,X
ARI,"Tomas, Yasmany",,,,,X,,X
SF,"Tomlinson, Kelby",,,,X,,,
LAD,"Turner, Justin",Wooden Spooners,,,,X,,
WAS,"Turner, Trea",Steroid Stiffs (Minors),,,X,,,
SD,"Upton Jr., Melvin",,,,,,,X
LAD,"Utley, Chase",,,,X,,,
LAD,"Van Slyke, Scott",,,X,,,,X
CHC,"Villanueva, Christian",,,,,X,,
MIL,"Villar, Jonathan",,,,,,X,
CIN,"Votto, Joey",,,X,,,,
NYM,"Walker, Neil",,,,X,,,
SD,"Wallace, Brett",,,X,,,,
MIL,"Walsh, Colin",,,,X,,,
WAS,"Werth, Jayson",,,,,,,X
COL,"Wolters, Tony",,X,,,,,
STL,"Wong, Kolten",,,,X,,,
NYM,"Wright, David",,,,,X,,
MIA,"Yelich, Christian",Alien Nation,,,,,,X
WAS,"Zimmerman, Ryan",,,X,,,,
CHC,"Zobrist, Ben",,,,X,,,X
